Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State 2me
1,Indoor,1,5,1,23.55646913,72.61902056,2
5,Outdoor,2,4,1,9.791325557,76.37700622,2
3,Outdoor,1,5,1,-1,-1,2
2,Indoor,2,5,1,-1,-1,2
2,Indoor,1,5,1,-1,-1,2
3,Outdoor,1,5,1,12.87929031,77.72461163,2
3,Indoor,1,5,1,12.87929031,77.72461163,2
3,Outdoor,1,5,1,12.87896328,77.72466857,2
3,Indoor,1,5,1,12.87896328,77.72466857,2
1,2,2,2,2,28.876312,72.719925,2
2,Indoor,2,5,1,-1,-1,2
2,Indoor,2,5,1,-1,-1,2
2,Indoor,2,5,1,-1,-1,2
3,Indoor,1,5,1,-1,-1,2
2,Indoor,2,1,2,28.34835265,77.33258224,2
4,Indoor,2,2,2,26.2350687,84.35418588,2
4,Indoor,1,1,3,26.2350687,84.35418588,2
4,Indoor,2,1,3,26.2350687,84.35418588,2
3,Indoor,1,5,1,24.7351166,87.274691,2
5,Indoor,1,1,2,-1,-1,2
3,Indoor,1,5,1,-1,-1,2
3,Indoor,1,1,2,-1,-1,2
2,Travelling,1,1,2,-1,-1,2
2,Indoor,1,2,2,-1,-1,2
2,Indoor,1,1,2,28.66926544,77.28462615,2
3,Indoor,1,4,1,18.60330267,73.69014581,2
3,Indoor,1,4,1,18.60330267,73.69014581,2
3,Indoor,1,4,1,18.6064688,73.7169161,2
3,Indoor,1,4,1,18.60355945,73.69012057,2
3,Indoor,1,3,2,18.60355945,73.69012057,2
3,Indoor,1,4,1,18.60355945,73.69012057,2
3,Indoor,1,4,1,18.60355945,73.69012057,2
3,Outdoor,1,4,1,18.60355945,73.69012057,2
3,Outdoor,1,4,1,18.60355945,73.69012057,2
3,Indoor,1,4,1,18.6036051,73.69018,2
3,Indoor,1,4,1,19.20424155,72.83322918,2
3,Indoor,1,3,2,19.20424155,72.83322918,2
4,Indoor,2,4,1,-1,-1,2
4,Outdoor,2,3,1,-1,-1,2
4,Indoor,2,3,1,-1,-1,2
2,Indoor,2,1,3,12.9009931,77.6240423,2
2,Outdoor,1,4,1,16.88402687,79.69186324,2
2,Indoor,1,3,1,12.70535052,77.70015657,2
2,Indoor,1,3,2,12.70535052,77.70015657,2
3,Outdoor,1,1,2,25.21041855,85.3597823,2
1,2,1,5,1,19.195953,72.98736,Maharashtra
3,Indoor,1,1,2,27.2868961,77.716151,2
2,Travelling,1,1,3,22.03025,87.82723167,2
2,Indoor,1,1,2,28.66926544,77.28462615,2
3,Indoor,1,5,1,25.99455397,76.35651807,2
2,Indoor,2,4,1,12.97063755,77.75070028,2
2,Indoor,1,5,1,-1,-1,2
3,Outdoor,1,4,1,26.114717,85.385826,Bihar
3,Indoor,1,2,2,27.2868961,77.716151,2
2,Indoor,2,1,2,21.33039551,74.56219734,2
2,Indoor,2,1,3,21.33039551,74.56219734,2
5,Travelling,2,2,2,18.6439906,73.7809953,2
2,Indoor,1,5,1,28.4931612,77.0947441,2
3,Indoor,1,5,1,29.1632787,79.14177712,2
3,Outdoor,1,5,1,18.63033535,83.17938594,2
2,Indoor,1,3,1,19.0838524,72.8497245,2
3,Outdoor,1,1,2,25.21041855,85.3597823,2
3,Travelling,1,5,1,22.14960257,71.21364878,2
2,Outdoor,2,1,2,12.9053703,77.62742489,2
3,Indoor,1,3,1,19.20771986,73.18545372,2
3,Indoor,1,5,1,-1,-1,2
2,Indoor,1,4,1,20.38232454,72.91754858,2
3,Indoor,1,1,2,27.2868961,77.716151,2
2,Travelling,1,2,2,-1,-1,2
3,Indoor,1,3,1,19.20771986,73.18545372,2
3,Outdoor,1,1,2,25.21041855,85.3597823,2
3,Outdoor,1,3,1,16.52195095,80.62989534,2
3,Travelling,1,1,2,27.2868961,77.716151,2
3,Outdoor,1,5,1,28.636524,77.37416,Uttar Pradesh
3,Indoor,1,5,1,30.27297193,78.07965088,2
3,Indoor,1,3,1,19.20771986,73.18545372,2
2,Indoor,2,1,3,12.92382347,77.65326319,2
2,Outdoor,1,1,2,12.91267803,77.65141369,2
3,Outdoor,1,1,2,25.21041855,85.3597823,2
3,Travelling,1,1,2,27.2868961,77.716151,2
2,Outdoor,1,5,1,28.482874,77.28747,Harya2
2,Outdoor,1,1,3,12.91254702,77.65178869,2
2,Outdoor,1,1,3,28.55614683,77.32530188,2
2,Travelling,1,1,2,28.55614683,77.32530188,2
2,Indoor,2,2,3,28.55614683,77.32530188,2
3,Indoor,1,1,3,25.2201558,84.2695242,2
3,Indoor,1,5,1,28.65774347,77.14837916,2
3,Outdoor,1,4,1,20.72625415,77.01905872,2
2,Outdoor,1,5,1,-1,-1,2
3,Indoor,1,4,1,26.19218957,78.15832467,2
1,Indoor,2,3,1,-1,-1,2
2,Indoor,1,4,1,28.87614953,76.64401674,2
2,Indoor,1,4,1,28.87614953,76.64401674,2
3,Indoor,1,4,1,-1,-1,2
3,Indoor,1,1,2,30.92493335,75.83590597,2
1,Indoor,1,4,1,22.25787076,73.19583893,2
3,Indoor,1,3,1,28.00751617,73.31661283,2
3,Outdoor,3,1,2,28.635223,77.21695,Delhi
3,Outdoor,1,2,2,28.637365,77.21645,Delhi
1,Indoor,1,4,1,22.26022258,73.17966196,2
3,Outdoor,1,5,1,23.183725,87.963646,West Bengal
2,Indoor,1,5,1,19.18604429,72.97576185,2
3,Outdoor,2,4,1,13.085242,80.18686,Tamil 2du
3,Indoor,1,5,1,20.7159044,77.0100323,2
2,Indoor,1,4,1,28.87614953,76.64401674,2
3,Outdoor,1,3,1,28.6597264,77.2645454,2
3,Indoor,1,3,1,19.20771986,73.18545372,2
3,Indoor,1,4,1,22.85203261,88.36525627,2
3,Indoor,1,3,1,19.20771986,73.18545372,2
3,Indoor,1,1,2,25.2093457,85.3695057,2
4,Outdoor,2,5,1,-1,-1,2
1,Indoor,1,2,2,20.3634397,72.918536,2
1,Indoor,1,2,2,20.3634397,72.918536,2
1,Indoor,1,3,1,20.3639651,72.9225034,2
1,Indoor,1,2,2,20.3640083,72.9224622,2
1,Indoor,1,3,1,20.3640083,72.9224622,2
1,Indoor,1,2,2,20.36393172,72.92258373,2
2,Indoor,1,1,3,12.92251911,77.66865663,2
3,Indoor,1,5,1,-1,-1,2
3,Indoor,1,1,2,25.2093457,85.3695057,2
5,Indoor,2,3,2,18.54698885,73.74697928,2
3,Indoor,1,4,1,18.54637511,73.74787101,2
3,Indoor,1,3,1,19.20771986,73.18545372,2
2,Travelling,2,3,1,19.18817509,72.82482931,2
3,Outdoor,1,5,1,26.816652,83.349396,Uttar Pradesh
3,Outdoor,1,4,1,26.114712,85.38581,Bihar
2,Travelling,1,4,1,17.9760478,79.5969614,2
2,Indoor,1,4,1,17.9317947,79.63851192,2
3,Outdoor,1,4,1,17.49620589,78.29792373,2
2,Outdoor,2,3,1,17.49756016,78.29766054,2
2,Outdoor,3,3,2,17.5049808,78.3015325,2
2,Outdoor,2,4,1,17.50499315,78.30159727,2
3,Outdoor,1,2,2,21.1367578,79.1203299,2
3,Indoor,1,3,2,18.54637511,73.74787101,2
1,Indoor,2,5,1,28.6260924,77.4351651,2
3,Indoor,1,4,1,17.50128303,78.42014308,2
3,Indoor,1,5,1,17.501292,78.42011,2
1,Indoor,1,2,2,20.38919991,72.90211776,2
2,Indoor,1,5,1,26.2891988,72.0529968,2
5,Indoor,2,4,1,18.55566787,73.76812954,2
3,Outdoor,1,4,1,-1,-1,2
1,Indoor,2,5,1,28.6260924,77.4351651,2
2,Outdoor,1,3,2,12.9748778,77.6940085,2
2,Indoor,1,3,1,27.79415794,76.63570175,2
2,Indoor,1,3,1,27.79415794,76.63570175,2
2,Indoor,1,3,1,27.79415794,76.63570175,2
2,Indoor,1,3,1,27.79415794,76.63570175,2
2,Indoor,1,3,1,27.79415794,76.63570175,2
1,Indoor,1,1,2,23.54852338,74.44504206,2
2,Outdoor,1,1,2,28.6691908,77.28458,2
1,Outdoor,2,2,2,-1,-1,2
1,Outdoor,1,4,1,9.7909348,76.3769212,2
2,Indoor,2,1,3,10.01209586,76.32478783,2
3,Indoor,1,1,2,-1,-1,2
3,Outdoor,3,2,2,28.635223,77.21695,Delhi
1,Indoor,2,4,1,-1,-1,2
3,Outdoor,1,5,1,23.287458,72.442505,Gujarat
3,Outdoor,1,5,1,-1,-1,2
2,Indoor,1,1,3,28.6692474,77.2846277,2
2,Indoor,1,1,2,28.6692474,77.2846277,2
3,Indoor,1,3,1,28.0073854,73.31658043,2
1,Indoor,1,5,1,28.6258005,77.4350108,2
2,Outdoor,1,4,1,28.1989,76.83607,Rajasthan
3,Indoor,1,1,3,25.92171366,82.00289721,2
3,Travelling,1,5,1,25.9216506,82.00295966,2
3,Indoor,1,3,1,19.042798,72.8621596,2
3,Indoor,1,1,2,25.20925526,85.36939526,2
2,Indoor,2,1,3,12.9214819,77.6850041,2
2,Indoor,1,5,1,26.291672,72.05164223,2
5,Indoor,1,3,1,19.331415,76.74579667,2
5,Travelling,2,1,2,29.36562748,76.981664,2
2,Indoor,1,5,1,13.0577255,77.58320543,2
2,Indoor,1,5,1,13.05771237,77.58319122,2
1,Indoor,2,5,1,22.67826,72.87248833,2
3,Indoor,1,4,1,12.9964473,77.6886813,2
3,Indoor,1,2,2,22.99424313,72.519614,2
1,Indoor,1,2,2,20.3639557,72.9224868,2
1,Outdoor,2,3,1,28.848059,72.88302,Rajasthan
3,Indoor,1,5,1,22.97248193,72.60686689,2
3,Indoor,1,5,1,11.35627775,77.77375664,2
2,Indoor,2,1,2,28.9987264,79.3964984,2
2,Indoor,2,1,2,28.9972089,79.3999956,2
2,Indoor,2,1,2,28.9972089,79.3999956,2
2,Indoor,3,1,2,28.9972089,79.3999956,2
2,Indoor,1,1,2,28.9972089,79.3999956,2
2,Outdoor,1,1,2,28.9977594,79.400577,2
3,Indoor,1,4,1,16.5293206,80.4676215,2
3,Indoor,1,4,1,16.5293206,80.4676215,2
3,Indoor,1,4,1,16.529379,80.4675749,2
3,Indoor,1,4,1,16.5293099,80.467413,2
3,Indoor,1,4,1,16.5293435,80.467479,2
3,Indoor,1,4,1,16.5293415,80.4674652,2
2,Indoor,2,5,1,21.3293832,74.5629858,2
3,Outdoor,2,4,1,16.52946779,80.46753554,2
3,Outdoor,1,4,1,16.304425,80.4497686,2
2,Outdoor,1,5,1,22.18318945,88.20313333,2
3,Indoor,2,4,1,16.47089293,80.45790703,2
4,Outdoor,2,2,2,-1,-1,2
3,Indoor,1,3,2,16.47089293,80.45790703,2
3,Indoor,1,4,1,16.47089293,80.45790703,2
3,Indoor,1,4,1,16.47089293,80.45790703,2
1,Indoor,1,5,1,28.6258005,77.4350108,2
1,Travelling,2,2,2,-1,-1,2
3,Travelling,1,4,1,18.49009405,73.82646077,2
2,Indoor,1,3,1,30.10467441,78.28761737,2
3,Indoor,1,5,1,24.31114865,71.61312714,2
3,Outdoor,1,5,1,24.31114865,71.61312714,2
3,Travelling,1,5,1,24.31114865,71.61312714,2
3,Indoor,1,5,1,24.31114865,71.61312714,2
3,Indoor,1,5,1,24.31114865,71.61312714,2
3,Indoor,1,5,1,24.31114865,71.61312714,2
3,Indoor,1,5,1,24.31114865,71.61312714,2
3,Outdoor,1,5,1,24.34706761,71.57885951,2
3,Outdoor,1,5,1,23.287458,72.442505,Gujarat
1,Outdoor,2,5,1,19.11196,72.92671,2
1,Outdoor,2,5,1,19.158518,72.94738,Maharashtra
2,Indoor,1,4,1,20.38232454,72.91754858,2
3,Indoor,1,4,1,18.8810241,72.9470093,2
3,Indoor,1,5,1,-1,-1,2
2,Outdoor,2,5,1,12.943211,77.62132,Kar2taka
1,Travelling,1,4,1,18.6342409,73.7928294,2
2,Indoor,2,2,2,22.31716422,88.22646222,2
3,Outdoor,1,5,1,15.3974007,77.2238089,2
3,Indoor,1,5,1,22.55009667,88.37034333,2
3,Travelling,1,5,1,17.345097,77.9088,Telanga2
1,Indoor,1,5,1,21.92000008,82.77999878,2
1,Indoor,2,5,1,13.08820046,80.17851113,2
2,Indoor,1,4,1,28.87586463,76.64392605,2
3,Indoor,1,5,1,-1,-1,2
2,Indoor,2,3,1,22.31720506,88.22653647,2
3,Travelling,1,5,1,22.42235967,71.19891539,2
2,Indoor,1,3,1,27.79416886,76.63569082,2
4,Outdoor,3,1,2,-1,-1,2
4,Outdoor,3,1,3,-1,-1,2
1,Indoor,1,5,1,13.08820046,80.17851113,2
4,Indoor,3,1,2,-1,-1,2
4,Indoor,3,1,3,-1,-1,2
4,Indoor,3,1,2,-1,-1,2
4,Indoor,3,1,3,-1,-1,2
4,Indoor,3,1,2,-1,-1,2
4,Indoor,3,1,3,-1,-1,2
4,Indoor,3,1,2,-1,-1,2
4,Indoor,3,1,2,-1,-1,2
4,Indoor,3,1,2,-1,-1,2
4,Outdoor,3,2,2,-1,-1,2
2,Outdoor,2,1,2,17.443504,78.38544,Telanga2
4,Outdoor,3,3,2,-1,-1,2
2,Indoor,1,3,1,27.79416886,76.63569082,2
4,Indoor,3,2,2,-1,-1,2
2,Indoor,2,1,2,29.40261151,79.30360736,2
1,Travelling,2,5,1,26.89894949,75.80335517,2
1,Indoor,1,5,1,26.8985462,75.80307691,2
1,Indoor,2,5,1,26.8985462,75.80307691,2
1,Indoor,1,5,1,26.8985462,75.80307691,2
1,Indoor,2,4,1,26.91197737,75.78492377,2
1,Indoor,2,5,1,26.92541546,75.82472968,2
1,Indoor,2,5,1,26.92650207,75.82413108,2
1,Indoor,2,5,1,26.92577695,75.82342801,2
1,Indoor,2,5,1,26.89657289,75.81550404,2
1,Indoor,2,5,1,26.86105192,75.79563797,2
1,Indoor,1,5,1,26.8612049,75.79542,2
1,Indoor,2,5,1,26.86123257,75.7904492,2
1,Indoor,2,5,1,26.86261468,75.78848771,2
1,Indoor,1,5,1,26.86261468,75.78848771,2
1,Indoor,1,5,1,26.86259687,75.78851402,2
1,Indoor,2,5,1,26.86259687,75.78851402,2
1,Indoor,2,5,1,26.86259687,75.78851402,2
1,Indoor,2,5,1,26.86259687,75.78851402,2
1,Indoor,2,5,1,26.85878287,75.79106256,2
2,Outdoor,2,3,1,12.92873973,77.6063017,2
2,Outdoor,1,3,1,12.92873973,77.6063017,2
4,Indoor,2,5,1,17.40165402,78.37183867,2
3,Indoor,1,3,3,-1,-1,2
2,Indoor,1,5,1,22.65454462,88.86290925,2
3,Indoor,1,5,1,-1,-1,2
2,Travelling,1,4,1,19.0802259,72.84853649,2
4,Outdoor,2,4,1,11.3243885,77.72743,Tamil 2du
2,Travelling,1,3,1,29.40273195,79.30356947,2
1,Indoor,2,1,2,28.62638478,77.10814155,2
3,Outdoor,1,1,2,18.588573,73.82292,Maharashtra
1,Travelling,2,3,1,12.976588,77.71105,Kar2taka
3,Outdoor,1,4,1,12.951671,77.70435,2
2,Indoor,1,1,3,17.31691886,78.53900981,2
2,Indoor,1,1,3,17.31675145,78.53895117,2
2,Indoor,1,4,1,19.0502622,72.9043391,2
3,Indoor,1,4,1,16.52939555,80.46746013,2
3,Indoor,1,4,1,10.0153186,76.36880076,2
2,Indoor,1,2,2,-1,-1,2
3,Outdoor,1,1,2,25.20925526,85.36939526,2
1,Indoor,2,1,2,19.1098274,73.00662258,2
3,Outdoor,1,5,1,28.5564015,77.172638,2
1,Indoor,3,2,2,9.7910794,76.376946,2
2,Indoor,3,3,2,-1,-1,2
2,Indoor,1,2,2,28.59953043,77.29770002,2
3,Indoor,1,4,1,22.71197093,75.88059463,2
3,Indoor,1,3,1,19.1896388,77.31289226,2
2,Indoor,2,5,1,21.3293832,74.5629858,2
4,Outdoor,2,4,1,-1,-1,2
