test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address,km_between
126554503,"1F2F055C8ED14AA48FBA2B1BCF1EFB80","","2019-09-01 00:07:18","7815537","5","183.171.xxx.xxx",12649,10753,27,"Petaling Jaya","Malaysia","MY",3.0833,101.6500,"Celcom Axiata","Celcom Axiata Berhad","1","0","2","Malaysia","MY","Selangor","10","Petaling Jaya",3.083,101.650,0,"Petaling Jaya, Selangor, Malaysia","Petaling Jaya","locality","Malaysia","MY","Selangor","Petaling","","47300","",0
126554504,"B677D612DEDB4E16AD5DF1B04AE91963","2019-09-01 00:06:44","2019-09-01 00:07:18","8044867","5","176.101.xxx.xxx",25095,10361,18,"Almoradi","Spain","ES",38.1107,-0.7937,"Telfy Telecom","Television por cable Santa Pola, S.L.","1","22","1","Spain","ES","Valencian Community","VC","Formentera de Segura",38.083,-0.750,3.04138,"03179 Formentera del Segura, Alicante, Spain","Formentera del Segura","locality","Spain","ES","Valencian Community","Alicante","Vega Baja del Segura, Formentera del Segura","03179","",4.88917
126554505,"042B72FF7E3240B990A9404FEEBE4892","2019-09-01 00:06:45","2019-09-01 00:07:18","8078965","5","212.106.xxx.xxx",5494,976,17,"Wroclaw","Poland","PL",51.1167,17.0333,"FineMEDIA","Netia SA","1","22","2","Poland","PL","Lower Silesian Voivodeship","DS","Wrocław",51.100,17.033,1.1552,"Wrocław, Poland","Wrocław","locality","Poland","PL","Lower Silesian Voivodeship","Wrocław County","Wrocław","50-576","",1.85704
126554506,"181FA2A19F274EB3935A474A516CBDEF","2019-09-01 00:07:19","2019-09-01 00:07:19","7349151","4","84.47.xxx.xxx",5913,588,34,"Zvolen","Slovakia","SK",48.5762,19.1371,"Detronics s.r.o.","Slovak Telecom","1","2","1","Slovakia","SK","Nitra Region","NI","Zeliezovce",48.050,18.666,42.3441,"Želiezovce, Slovakia","Želiezovce","locality","Slovakia","SK","Nitra Region","Levice","","937 01","",68.0703
126554507,"B608FBA6AF524227921B616C8E748966","2019-09-01 00:06:45","2019-09-01 00:07:19","2054000","5","5.133.xxx.xxx",4182,4443,7,"Gaza","Palestine","PS",31.5167,34.4500,"SpeedClick","JetNet for Information Technology and Telecommunic","1","22","2","Palestine","PS","Gaza","GZA","Gaza",31.500,34.466,1.51805,"","","","","","","","","","",2.44034
126554508,"24B0C1DB0A734D508BA475A4CC546455","2019-09-01 00:06:46","2019-09-01 00:07:19","8046142","5","112.200.xxx.xxx",948,776,28,"Quezon City","Philippines","PH",14.6300,121.0300,"Globe Telecom","Philippine Long Distance Telephone","1","22","1","Philippines","PH","Ilocos Region","01","Asingan",16.005,120.668,98.1255,"Asingan, 2439 Pangasinan, Philippines","Asingan","locality","Philippines","PH","Ilocos Region","Pangasinan","","","",157.742
126554509,"E93A12C5A9BF45DAB8B09508A9FB493E","2019-09-01 00:06:44","2019-09-01 00:07:19","7654347","5","103.100.xxx.xxx",88975,92187,4,"Brisbane","Australia","AU",-27.4728,153.0278,"Vine Networks","Gigafy","1","22","2","Australia","AU","Queensland","QLD","Brisbane",-27.467,153.028,0.33945,"South Brisbane QLD 4101, Australia","South Brisbane","locality","Australia","AU","Queensland","Brisbane City","","4101","",0.545684
126554510,"4CA1E4BE72414FA5A5F6967F6E3B57EB","2019-09-01 00:06:43","2019-09-01 00:07:20","8192675","5","124.120.xxx.xxx",213960,127367,3,"Pathum Thani","Thailand","TH",14.0208,100.5250,"3BB","True Internet","1","0","2","Thailand","TH","Pathum Thani","13","Thanyaburi",14.016,100.733,13.9818,"Rangsit, Thanyaburi District, Pathum Thani, Thailand","Rangsit","locality","Thailand","TH","Pathum Thani","Thanyaburi District","","12110","",22.4764
126554511,"9D3263747CE94B349E6D456E6F7E4038","2019-09-01 00:07:20","2019-09-01 00:07:20","7821275","4","220.253.xxx.xxx",4660,1007,28,"Melbourne","Australia","AU",-37.8136,144.9631,"Over the Wire","iiNet Limited","1","2","1","Australia","AU","Victoria","VIC","Kensington",-37.783,144.933,2.65436,"Kensington VIC, Australia","Kensington","locality","Australia","AU","Victoria","Melbourne City","","3031","",4.26702
126554512,"A73E022E30A04686B1B29398D2CB710F","2019-09-01 00:06:47","2019-09-01 00:07:21","5186950","5","128.74.xxx.xxx",70725,97543,2,"Kemerovo","Russia","RU",55.3608,86.0889,"Beeline","Beeline Home","1","2","1","Russia","RU","Kemerovo Oblast","KEM","Kemerovo",55.333,86.083,1.9149,"Kemerovo, Kemerovo Oblast, Russia","Kemerovo","locality","Russia","RU","Kemerovo Oblast","gorod Kemerovo","","650055","",3.07831
126554513,"C7560701F14947A6A3AAB47BD1AA2D43","2019-09-01 00:06:18","2019-09-01 00:07:21","7894803","5","157.44.xxx.xxx",5061,2079,53,"Hyderabad","India","IN",17.3700,78.4800,"Reach Broadband","Jio","1","2","2","India","IN","Telangana","TG","Hyderabad",17.375,78.474,0.520569,"Hyderabad, Telangana, India","Hyderabad","locality","India","IN","Telangana","","","500457","",0.836842
126554514,"85E85F4706404D798BAE4B4757C58808","2019-09-01 00:06:43","2019-09-01 00:07:21","2764675","5","93.55.xxx.xxx",9216,2299,38,"Milan","Italy","IT",45.4640,9.1916,"Fastweb SpA","Fastweb","1","22","2","Italy","IT","Piedmont","21","Villarbasse",45.081,7.526,85.2463,"Rivoli, Metropolitan City of Turin, Italy","Rivoli","administrative_area_level_3","Italy","IT","Piedmont","Metropolitan City of Turin","Rivoli","10098","",137.038
126554515,"3DE18DE0CF724C4896A465B8DA31E082","2019-09-01 00:03:04","2019-09-01 00:07:23","8072947","4","88.149.xxx.xxx",0,0,39,"Mendrisio","Switzerland","CH",45.8713,8.9841,"Mercury Labs SAGL","UNKNOWN","","22","2","Italy","IT","Lombardy","25","Mandello del Lario",45.900,9.316,16.1369,"","","","","","","","","","",25.9409
126554516,"E5293AB20AD44A3D8BDD61F1804F4100","2019-09-01 00:06:45","2019-09-01 00:07:23","4662250","5","154.119.xxx.xxx",2963,3210,14,"Cape Town","South Africa","ZA",-33.9248,18.4240,"Clear Access","Snowball Effect CC","1","22","1","South Africa","ZA","Western Cape","WC","Vlottenburg",-33.959,18.798,21.6124,"Stellenbosch Farms, South Africa","Stellenbosch Farms","locality","South Africa","ZA","Western Cape","Cape Winelands","Stellenbosch","","",34.7431
