test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start,km_between
5263300355,270183973,"HUAWEI/STK-L22/HWSTK-HF:9/HUAWEISTK-L22/9.1.0.231C636:user/release-keys","2019-09-01 00:00:01","115.164.xxx.xxx",37638,39106,47,"Petaling Jaya","Malaysia","MY",3.0833,101.6500,"Digi Malaysia","Malaysia","MY","Labuan Federal Territory","15","Labuan",5.318,115.250,950.794,"DIGI","1","DiGi","502","16",15,15,"HUAWEI","HWSTK-HF","kirin710","HUAWEISTK-L22","HUAWEI","STK-L22","STK-L22","","7404233",1,"87000 Victoria, Labuan Federal Territory, Malaysia","Victoria","locality","Malaysia","MY","Labuan Federal Territory","","","87000","","5.31829","115.25036",1,"5.31829","115.25036",1,1526.8
5263300358,182234235,"lge/lucye_global_com/lucye:8.0.0/OPR1.170623.032/191911309bbbd:user/release-keys","2019-09-01 00:00:01","91.253.xxx.xxx",30162,26207,28,"Milan","Italy","IT",45.4640,9.1916,"Wind Tre","Italy","IT","Veneto","34","Padova",45.419,11.898,131.401,"Wind Tre","1","3 ITA","222","99",15,15,"lge","lucye","lucye","OPR1.170623.032","LGE","LG-H870","lucye_global_com","","59909134",1,"Padua, Province of Padua, Italy","Padua","locality","Italy","IT","Veneto","Province of Padua","Padua","35132","","45.41993","11.89849",1,"45.41993","11.89849",1,210.308
5263300361,251665461,"SENTER/M10/HS8929QC:5.1.1/LMY47V/L1391.6.01.00:user/release-keys","2019-09-01 00:00:01","219.143.xxx.xxx",176654,36484,4,"Beijing","China","CN",39.9139,116.3917,"Beijing Broadband Network","China","CN","Beijing","BJ","Beijing",39.914,116.276,6.11109,"China Telecom","1","中国电信","460","11",0,0,"SENTER","HS8929QC","qcom","LMY47V","SENTER","LC709","ST327 V2.0","50131","",1,"Beijing, Beijing, China","Beijing","locality","China","CN","Beijing","","","","","39.91474","116.27652",1,"39.91474","116.27652",1,1.69333
5263300366,256951284,"OPPO/CPH1877/CPH1877:8.1.0/OPM1.171019.026/1563982690:user/release-keys","2019-09-01 00:00:01","223.138.xxx.xxx",39593,3685,24,"Taipei","Taiwan","TW",25.0333,121.5333,"Chief Telecom","Taiwan","TW","Taipei City","TPE","Taipei",25.040,121.565,2.08486,"Chunghwa Telecom","1","Chunghwa Telecom","466","92",15,15,"OPPO","CPH1877","qcom","OPM1.171019.026","OPPO","CPH1877","CPH1877","","54069282",1,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","110","","25.04056","121.56558",1,"25.04056","121.56558",1,1.06286
5263300367,169854655,"samsung/hero2ltexx/hero2lte:7.0/NRD90M/G935FXXU1DQJ3:user/release-keys","2019-09-01 00:00:01","185.61.xxx.xxx",5393,1526,147,"Vall-llobrega","Spain","ES",41.8808,3.1290,"Fibra365 Vall-llobrega","France","FR","Occitanie","OCC","Vauvert",43.655,4.313,136.68,"Jaguar Network SAS","1","Lebara","208","20",17,17,"samsung","hero2lte","samsungexynos8890","NRD90M","samsung","SM-G935F","hero2ltexx","","95309393",1,"Vauvert, France","Vauvert","locality","France","FR","Languedoc-Roussillon","Gard","","30600","","","",0,"","",0,223.134
5263300369,256697389,"samsung/a50dd/a50:9/PPR1.180610.011/A505FDDU2ASH3:user/release-keys","2019-09-01 00:00:01","106.223.xxx.xxx",2026,0,30,"New Delhi","India","IN",28.6100,77.2300,"Bharti Airtel Ltd","India","IN","Delhi","DL","Delhi",28.650,77.237,2.82838,"BHARTI Airtel","1","Airtel","404","10",15,15,"samsung","a50","exynos9610","PPR1.180610.011","samsung","SM-A505F","a50dd","","",2,"Delhi, India","Delhi","locality","India","IN","Delhi","North West Delhi","","110006","","28.65040","77.23720",2,"28.65040","77.23720",2,6.43706
5263300372,234697162,"samsung/starltexx/starlte:9/PPR1.180610.011/G960FXXU2CSB3:user/release-keys","2019-09-01 00:00:01","1.125.xxx.xxx",121089,21215,18,"Adelaide","Australia","AU",-34.9290,138.6010,"Telstra","Australia","AU","South Australia","SA","Adelaide",-34.926,138.594,0.429588,"Telstra Internet","1","Telstra","505","1",15,15,"samsung","starlte","samsungexynos9810","PPR1.180610.011","samsung","SM-G960F","starltexx","","148485379",1,"Adelaide SA 5000, Australia","Adelaide","locality","Australia","AU","South Australia","","","5000","","-34.92646","138.59408",1,"-34.92646","138.59408",1,0.486521
5263300373,255367894,"HONOR/COL-AL10/HWCOL:9/HUAWEICOL-AL10/321C00:user/release-keys","2019-09-01 00:00:01","122.96.xxx.xxx",95184,40327,14,"Nanjing","China","CN",32.0602,118.7968,"China Unicom","China","CN","Jiangsu","JS","Nanjing",32.050,118.659,8.08274,"China Unicom Liaoning","1","中国联通","460","1",15,15,"HONOR","HWCOL","kirin970","HUAWEICOL-AL10","HUAWEI","COL-AL10","COL-AL10","","221938704",1,"Nanjing, Jiangsu, China","Nanjing","locality","China","CN","Jiangsu","","","","","32.05058","118.65939",1,"32.05058","118.65939",1,1.79796
5263300375,269759336,"samsung/gracerltexx/gracerlte:9/PPR1.180610.011/N935FXXS5CSF1:user/release-keys","2019-09-01 00:00:01","151.255.xxx.xxx",33441,22000,23,"Jeddah","Saudi Arabia","SA",21.2854,39.2376,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Makkah Province","02","Jeddah",21.548,39.294,18.5588,"SaudiNet","1","STC","420","1",15,15,"samsung","gracerlte","samsungexynos8890","PPR1.180610.011","samsung","SM-N935F","gracerltexx","","56194816",1,"Jeddah Saudi Arabia","Jeddah","locality","Saudi Arabia","SA","Makkah Province","","","","","21.54852","39.29400",1,"21.54852","39.29400",1,25.8119
5263300383,264095021,"HUAWEI/Y541-U02/HWY541-U:4.4.2/HUAWEIY541-U02/C479B109:user/ota-rel-keys,release-keys","2019-09-01 00:00:02","217.118.xxx.xxx",9245,5378,78,"Kazan","Russia","RU",55.7951,49.1089,"OJSC Ufanet","Russia","RU","Tatarstan","TA","Kazan’",55.750,49.133,3.26094,"VimpelCom","1","Beeline","250","99",17,17,"HUAWEI","HWY541-U","sc8830","HUAWEIY541-U02","HUAWEI","HUAWEI Y541-U02","Y541-U02","","46010391",2,"Kazan, Tatarstan, Russia","Kazan","locality","Russia","RU","Tatarstan","gorod Kazan'","","420054","","55.75000","49.13330",2,"55.75000","49.13330",2,4.5428
