test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start,km_between
3423746943,105932866,"2019-09-01 00:06:35","157.32.xxx.xxx",6116,2643,55,"Ahemdabad","India","IN",23.0300,72.5800,"ISHAN Netsol Pvt Ltd","India","IN","Gujarat","GJ","Vadodara",22.297,73.230,65.4954,12,12,"Jio","1","Jio","IN","405","857","iPhone 6S Plus","13.1.1",1,"Vadodara, Gujarat, India","Vadodara","locality","India","IN","Gujarat","Vadodara","","390019","","22.29765","73.23042",1,103.131
3423746947,174791908,"2019-09-01 00:06:35","176.17.xxx.xxx",550,583,72,"Riyadh","Saudi Arabia","SA",24.6500,46.7100,"GO Telecom (Atheeb)","Saudi Arabia","SA","Riyadh Province","01","Jalajil",25.853,45.420,115.903,5,5,"Mobily","1","Mobily","SA","420","3","iPhone X","12.4",1,"Al Majmaah Saudi Arabia","Al Majmaah","locality","Saudi Arabia","SA","Riyadh Province","","","15342","","25.85338","45.42075",1,170.245
3423746950,172749200,"2019-09-01 00:06:35","95.184.xxx.xxx",35391,24995,26,"Riyadh","Saudi Arabia","SA",24.6500,46.7100,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Riyadh Province","01","Riyadh",24.653,46.715,0.415153,12,12,"SaudiNet","1","STC","SA","420","1","iPhone XS Max","13.1",2,"Riyadh Saudi Arabia","Riyadh","locality","Saudi Arabia","SA","Riyadh Province","","","12631","","24.65370","46.71520",2,0.66738
3423746955,131880250,"2019-09-01 00:06:35","77.219.xxx.xxx",5805,35,30,"Ljubljana","Slovenia","SI",46.0500,14.5000,"T-2 d.o.o.","Croatia","HR","Primorje-Gorski Kotar County","08","Rubesi",45.362,14.339,48.1813,12,12,"NetCom GSM as","1","Carrier","HR","219","2","iPhone X","13.1",1,"Rubeši, Croatia","Rubeši","locality","Croatia","HR","Primorje-Gorski Kotar County","Općina Kastav","","51211","","45.36254","14.33927",1,76.8673
3423746956,174791909,"2019-09-01 00:06:36","107.77.xxx.xxx",2658,8421,67,"Los Angeles, CA","United States","US",34.0500,-118.2500,"AT&T","United States","US","California","CA","Unknown",34.054,-118.244,0.45916,12,12,"AT&T Wireless","1","cricket","US","310","150","iPhone XS Max","12.4",2,"California, USA","California","administrative_area_level_1","United States","US","California","","","","","34.05440","-118.24400",2,0.738123
3423746959,165647994,"2019-09-01 00:06:36","223.136.xxx.xxx",48313,12685,35,"Taipei","Taiwan","TW",25.0333,121.5333,"kbro Co., Ltd.","Taiwan","TW","Taipei City","TPE","Taipei",25.035,121.529,0.255226,12,12,"Chunghwa Telecom","1","中華電信","TW","466","92","iPhone XR","12.4.1",1,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","100","","25.03507","121.52500",1,1.06286
3423746963,132017485,"2019-09-01 00:06:36","188.170.xxx.xxx",824,678,74,"Saint Petersburg","Russian Federation","RU",59.9333,30.3333,"Forest Net","Russia","RU","Leningrad Oblast","LEN","Sosnovo",60.499,30.272,39.1972,6,6,"PJSC MegaFon","1","MegaFon","RU","250","2","iPhone 6S Plus","12.3.1",1,"Orekhovo, Leningradskaya oblast', Russia, 188731","Orekhovo","locality","Russia","RU","Leningrad Oblast","Priozersky District","","188731","","60.49918","30.27285",1,69.3372
3423746972,138939970,"2019-09-01 00:06:37","49.195.xxx.xxx",26879,11390,24,"Sydney","Australia","AU",-33.8600,151.2111,"Exetel","Australia","AU","New South Wales","NSW","Anglers Reach",-36.006,148.698,205.758,1,0,"Optus","1","OPTUS","AU","505","2","iPhone 8","12.4.1",1,"Anglers Reach NSW 2629, Australia","Anglers Reach","locality","Australia","AU","New South Wales","Snowy River Shire Council","","2629","","-35.99980","148.68989",1,332.812
3423746984,161794226,"2019-09-01 00:06:37","113.210.xxx.xxx",10936,6504,31,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"InNET","Malaysia","MY","Unknown","??","Kuala Ampang",3.194,101.760,6.46875,12,12,"Maxis Communications","1","Maxis","MY","502","12","iPhone 7 Plus","13.0",1,"Ampang, Selangor, Malaysia","Ampang","locality","Malaysia","MY","Selangor","","","54200","","3.19480","101.76351",1,12.7698
3423746985,174341873,"2019-09-01 00:06:38","42.77.xxx.xxx",44788,25076,22,"Tainan","Taiwan","TW",22.9833,120.1833,"Chunghwa Mobile","Taiwan","TW","Kaohsiung City","KHH","Dagang",22.645,120.324,25.0687,12,12,"Chunghwa Telecom","1","中華電信","TW","466","92","iPhone 6S Plus","12.4.1",1,"Kaohsiung, Gushan District, Kaohsiung City, Taiwan","Kaohsiung","locality","Taiwan","TW","Kaohsiung City","Fengshan District","文華里","807","","22.64552","120.32812",1,40.0266
