test_id,test_date,client_ip_id,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,user_agent,isp_name,is_isp,connection_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,km_between
8551477246,"2019-09-01 00:00:10","231937058","223.181.xxx.xxx",11007,5898,44,"New Delhi","India","IN",28.6139,77.2090,"Malik Cable & Broadband","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","BHARTI Airtel","1","2","India","IN","Delhi","DL","New Delhi",28.600,77.200,1.10596,"New Delhi, Delhi 110001, India","New Delhi","locality","India","IN","Delhi","","","110011",1.77789
8551477248,"2019-09-01 00:00:11","2221997115","116.8.xxx.xxx",94490,33608,4,"Nanning","China","CN",22.8167,108.3167,"GX-Telecom_1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/1.3.1 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Telecom GUANGXI","1","2","China","CN","Guangxi","GX","Nanning",22.816,108.316,0.00681013,"Nanning, Guangxi, China","Nanning","locality","China","CN","Guangxi","","","",0.0109476
8551477249,"2019-09-01 00:00:11","2241062757","121.206.xxx.xxx",111390,115455,15,"Fuzhou","China","CN",26.0761,119.3064,"China Unicom FuJian","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","China Telecom FUJIAN","1","2","China","CN","Fujian","FJ",\N,24.479,118.081,134.376,"Fujian, China","Fujian","administrative_area_level_1","China","CN","Fujian","","","",216.017
8551477250,"2019-09-01 00:00:11","1869045861","36.90.xxx.xxx",2689,769,113,"Singapore","Republic of Singapore","SG",1.3000,103.8000,"MyRepublic","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","PT TELKOM INDONESIA","1","2","Indonesia","ID","Riau Islands","KR","Kabil",1.066,104.133,28.137,"Indonesia","Indonesia","country","Indonesia","ID","","","","",45.2317
8551477251,"2019-09-01 00:00:11","1335974129","103.42.xxx.xxx",381,494,388,"Chicago, IL","United States","US",41.8369,-87.6847,"Speedtest.net","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Myanmar Net","1","2","Republic of the Union of Myanmar","MM","Bago Region","02","Bago",17.333,96.483,8349.16,"Yangon Region, Myanmar (Burma)","Yangon Region","administrative_area_level_1","Myanmar (Burma)","MM","Yangon Region","","","",13421.7
8551477253,"2019-09-01 00:00:11","2119878473","110.93.xxx.xxx",6145,5992,18,"Karachi","Pakistan","PK",24.8600,67.0100,"Jazz","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Transworld Associates (Pvt.)","0","2","Pakistan","PK","Sindh","SD","Karachi",24.866,67.050,2.55282,"Karachi, Pakistan","Karachi","locality","Pakistan","PK","Sindh","Karachi District","","",4.1038
8551477254,"2019-09-01 00:00:11","129246854","218.111.xxx.xxx",5682,311,24,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"Viewqwest Sdn Bhd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","TM Net","1","2","Malaysia","MY","Federal Territory of Kuala Lumpur","14","Kuala Lumpur",3.166,101.700,2.2987,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Kuala Lumpur","locality","Malaysia","MY","Federal Territory of Kuala Lumpur","","","50050",3.69529
8551477256,"2019-09-01 00:00:11","94438638","118.137.xxx.xxx",3573,7902,14,"Jakarta","Indonesia","ID",-6.1745,106.8227,"Biznet Networks","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","FirstMedia","1","2","Indonesia","ID","Special Capital Region of Jakarta","JK","Pekayon",-6.214,106.735,6.64099,"West Jakarta, West Jakarta City, Special Capital Region of Jakarta, Indonesia","West Jakarta","locality","Indonesia","ID","Special Capital Region of Jakarta","West Jakarta City","","11640",10.6757
8551477258,"2019-09-01 00:00:11","1836024327","157.157.xxx.xxx",78317,112559,130,"Reykjavik","Iceland","IS",64.1333,-21.9333,"Hringidan","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Siminn","1","2","Iceland","IS","Capital Region","1","Reykjavik",64.136,-21.920,0.434514,"Hafnarfjordur, Iceland","Hafnarfjordur","locality","Iceland","IS","Capital Region","","","",0.698504
8551477259,"2019-09-01 00:00:11","167823448","222.253.xxx.xxx",76635,47339,1,"Ho Chi Minh City","Vietnam","VN",10.7500,106.6667,"VNPT-NET","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Vietnam Posts And Telecommunications Group","1","2","Vietnam","VN","Ho Chi Minh","SG","Quan Binh Thanh",10.803,106.696,4.21278,"Ho Chi Minh City, Ho Chi Minh 70000, Vietnam","Ho Chi Minh City","locality","Vietnam","VN","Ho Chi Minh","","","",6.77226
